TID, Nice, Tick
10, 10, 1225
10, 10, 1226
10, 10, 1227
10, 10, 1228
10, 10, 1229
10, 10, 1230
10, 10, 1231
10, 10, 1232
10, 10, 1233
10, 10, 1234
10, 10, 1235
10, 10, 1236
10, 10, 1237
10, 10, 1238
10, 10, 1239
10, 10, 1240
10, 10, 1241
10, 10, 1242
10, 10, 1243
14, 1, 1243
10, 10, 1244
10, 10, 1268
10, 10, 1294
11, -20, 1295
13, -10, 1297
5, 10, 1297
5, 10, 1299
11, -20, 1300
12, 20, 1301
12, 20, 1268
11, -20, 1303
11, -20, 1304
11, -20, 1305
11, -20, 1306
11, -20, 1307
11, -20, 1308
11, -20, 1309
11, -20, 1310
11, -20, 1311
11, -20, 1312
11, -20, 1313
11, -20, 1314
11, -20, 1315
11, -20, 1316
11, -20, 1317
11, -20, 1318
11, -20, 1319
11, -20, 1320
11, -20, 1321
11, -20, 1322
11, -20, 1323
11, -20, 1324
11, -20, 1325
11, -20, 1325
11, -20, 1326
15, -1, 1327
11, -20, 1328
13, -10, 1377
14, 1, 1377
12, 20, 1377
11, -20, 1379
11, -20, 1381
11, -20, 1382
11, -20, 1383
11, -20, 1384
11, -20, 1385
11, -20, 1386
11, -20, 1387
11, -20, 1388
11, -20, 1389
11, -20, 1390
11, -20, 1391
11, -20, 1392
11, -20, 1393
11, -20, 1394
11, -20, 1395
11, -20, 1395
11, -20, 1396
11, -20, 1397
11, -20, 1398
11, -20, 1399
11, -20, 1400
11, -20, 1401
11, -20, 1402
11, -20, 1403
11, -20, 1404
15, -1, 1405
11, -20, 1406
11, -20, 1410
13, -10, 1455
13, -10, 1410
14, 1, 1455
12, 20, 1455
11, -20, 1457
11, -20, 1460
11, -20, 1461
11, -20, 1462
11, -20, 1463
11, -20, 1464
11, -20, 1465
11, -20, 1466
11, -20, 1467
11, -20, 1468
11, -20, 1469
11, -20, 1470
11, -20, 1471
11, -20, 1472
11, -20, 1472
11, -20, 1473
11, -20, 1474
11, -20, 1475
11, -20, 1476
11, -20, 1477
11, -20, 1478
11, -20, 1479
11, -20, 1480
11, -20, 1481
11, -20, 1482
11, -20, 1483
15, -1, 1484
