/usr/libexec/qemu-kvm -hda /tmp/jbplr7wsqG.dsk -hdb build/filesys.dsk -m 4 -net none -nographic -monitor null
PiLo hda1
Loading...........
Kernel command line: -sched-instrument -q run shell
Pintos booting with 4,088 kB RAM...
382 pages available in kernel pool.
382 pages available in user pool.
Calibrating timer...  3,352,166,400 loops/s.
hda: 1,008 sectors (504 kB), model "QM00001", serial "QEMU HARDDISK"
hda1: 185 sectors (92 kB), Pintos OS kernel (20)
hdb: 5,040 sectors (2 MB), model "QM00002", serial "QEMU HARDDISK"
hdb1: 4,096 sectors (2 MB), Pintos file system (21)
filesys: using hdb1
Boot complete.
Executing 'shell':
Shell starting...
pintos> nice 20 count-looper 100000 &
*TID: 9, Nice: 0, Tick: 742
*TID: 9, Nice: 0, Tick: 743
pintos> cd ..*TID: 6, Nice: 20, Tick: 744
*TID: 6, Nice: 20, Tick: 745
*TID: 6, Nice: 20, Tick: 746
*TID: 10, Nice: 20, Tick: 747
*TID: 9, Nice: 20, Tick: 748
nice: set nice to 20
*TID: 10, Nice: 20, Tick: 750
*TID: 10, Nice: 20, Tick: 751
*TID: 10, Nice: 20, Tick: 752
*TID: 10, Nice: 20, Tick: 753
*TID: 10, Nice: 20, Tick: 754
*TID: 10, Nice: 20, Tick: 755
*TID: 10, Nice: 20, Tick: 756
*TID: 10, Nice: 20, Tick: 757
*TID: 10, Nice: 20, Tick: 758
*TID: 10, Nice: 20, Tick: 759
*TID: 10, Nice: 20, Tick: 760
*TID: 10, Nice: 20, Tick: 761
*TID: 10, Nice: 20, Tick: 762
*TID: 10, Nice: 20, Tick: 763
*TID: 10, Nice: 20, Tick: 764
*TID: 10, Nice: 20, Tick: 765
*TID: 10, Nice: 20, Tick: 766
*TID: 10, Nice: 20, Tick: 767
*TID: 10, Nice: 20, Tick: 768
*TID: 10, Nice: 20, Tick: 769
*TID: 10, Nice: 20, Tick: 770
*TID: 10, Nice: 20, Tick: 771
*TID: 10, Nice: 20, Tick: 772
*TID: 10, Nice: 20, Tick: 773
*TID: 10, Nice: 20, Tick: 774
*TID: 10, Nice: 20, Tick: 775
*TID: 10, Nice: 20, Tick: 776
*TID: 10, Nice: 20, Tick: 777
*TID: 10, Nice: 20, Tick: 778
*TID: 10, Nice: 20, Tick: 779
*TID: 10, Nice: 20, Tick: 780
*TID: 10, Nice: 20, Tick: 781
*TID: 10, Nice: 20, Tick: 782
*TID: 10, Nice: 20, Tick: 783
*TID: 10, Nice: 20, Tick: 784
*TID: 10, Nice: 20, Tick: 785
*TID: 10, Nice: 20, Tick: 786
*TID: 10, Nice: 20, Tick: 787
*TID: 10, Nice: 20, Tick: 788
*TID: 10, Nice: 20, Tick: 789
*TID: 10, Nice: 20, Tick: 790
*TID: 10, Nice: 20, Tick: 791
*TID: 10, Nice: 20, Tick: 792
*TID: 10, Nice: 20, Tick: 793
*TID: 10, Nice: 20, Tick: 794
*TID: 10, Nice: 20, Tick: 795
*TID: 10, Nice: 20, Tick: 796
*TID: 10, Nice: 20, Tick: 797
*TID: 10, Nice: 20, Tick: 798
*TID: 10, Nice: 20, Tick: 799
*TID: 10, Nice: 20, Tick: 800
*TID: 6, Nice: 20, Tick: 804
*TID: 4, Nice: 20, Tick: 804
*TID: 4, Nice: 20, Tick: 805
*TID: 4, Nice: 20, Tick: 806
*TID: 11, Nice: 20, Tick: 807
*TID: 10, Nice: 20, Tick: 808
*TID: 11, Nice: 20, Tick: 812
*TID: 10, Nice: 20, Tick: 812
*TID: 11, Nice: 20, Tick: 816
*TID: 10, Nice: 20, Tick: 816
*TID: 11, Nice: 20, Tick: 820
*TID: 10, Nice: 20, Tick: 820
*TID: 11, Nice: 20, Tick: 824
*TID: 10, Nice: 20, Tick: 824
*TID: 11, Nice: 20, Tick: 828
*TID: 10, Nice: 20, Tick: 828
*TID: 11, Nice: 20, Tick: 832
*TID: 10, Nice: 20, Tick: 832
*TID: 11, Nice: 20, Tick: 836
*TID: 10, Nice: 20, Tick: 836
*TID: 11, Nice: 20, Tick: 840
*TID: 10, Nice: 20, Tick: 840
*TID: 11, Nice: 20, Tick: 844
*TID: 10, Nice: 20, Tick: 844
*TID: 11, Nice: 20, Tick: 848
*TID: 10, Nice: 20, Tick: 848
*TID: 11, Nice: 20, Tick: 852
*TID: 10, Nice: 20, Tick: 852
*TID: 11, Nice: 20, Tick: 856
*TID: 10, Nice: 20, Tick: 856
*TID: 11, Nice: 20, Tick: 860
*TID: 10, Nice: 20, Tick: 860
*TID: 11, Nice: 20, Tick: 864
*TID: 10, Nice: 20, Tick: 864
*TID: 11, Nice: 20, Tick: 868
*TID: 10, Nice: 20, Tick: 868
*TID: 11, Nice: 20, Tick: 872
*TID: 10, Nice: 20, Tick: 872
*TID: 11, Nice: 20, Tick: 876
*TID: 10, Nice: 20, Tick: 876
*TID: 11, Nice: 20, Tick: 880
*TID: 10, Nice: 20, Tick: 880
*TID: 11, Nice: 20, Tick: 884
*TID: 10, Nice: 20, Tick: 884
*TID: 11, Nice: 20, Tick: 888
*TID: 10, Nice: 20, Tick: 888
*TID: 11, Nice: 20, Tick: 892
*TID: 10, Nice: 20, Tick: 892
*TID: 11, Nice: 20, Tick: 896
*TID: 10, Nice: 20, Tick: 896
*TID: 11, Nice: 20, Tick: 900
*TID: 10, Nice: 20, Tick: 900
*TID: 11, Nice: 20, Tick: 904
*TID: 10, Nice: 20, Tick: 904
*TID: 11, Nice: 20, Tick: 908
*TID: 10, Nice: 20, Tick: 908
*TID: 11, Nice: 20, Tick: 912
*TID: 10, Nice: 20, Tick: 912
*TID: 11, Nice: 20, Tick: 916
*TID: 10, Nice: 20, Tick: 916
*TID: 11, Nice: 20, Tick: 920
*TID: 10, Nice: 20, Tick: 920
*TID: 11, Nice: 20, Tick: 924
*TID: 10, Nice: 20, Tick: 924
*TID: 11, Nice: 20, Tick: 928
*TID: 10, Nice: 20, Tick: 928
*TID: 11, Nice: 20, Tick: 932
*TID: 10, Nice: 20, Tick: 932
*TID: 11, Nice: 20, Tick: 936
*TID: 10, Nice: 20, Tick: 936
*TID: 11, Nice: 20, Tick: 940
*TID: 10, Nice: 20, Tick: 940
*TID: 11, Nice: 20, Tick: 944
*TID: 10, Nice: 20, Tick: 944
